siteID,sitename,siteNumInCensus,year,established,ts_length,cov_hours,cov_visits,cov_times,cov_notes,area,richness,territories,terr_notes,weather
12,OAK-MAPLE SLOPE FOREST,121988.0,1988.0,1982.0,7,10.0,21,, 24 May to 22 June; 0552-0830.,16.9,19.0,26.5,156/km2,"Temperatures ranged from 4-20°C during census periods. Skies were overcast for 3 censuses, clear for 3 and hazy or partly cloudy for 4. Wind was strong enough to interfere with hearing on 2 occasions and rain began in the last 15 minutes of one census."
13,OAK-MAPLE RIDGE-TOP FOREST,131988.0,1988.0,1982.0,7,,,,,19.4,17.0,28.5,146/km2,
14,TULIP TREE-HICKORY FOREST,141988.0,1988.0,1988.0,1,10.0,30,, 14 June-14 july; 0510-0905.,10.0,19.0,52.5,525 / km2,It was warm and humid with very little rain during this period.
15,MESOPHYTIC FOREST I,151988.0,1988.0,1987.0,,22.0,28,, 21 May~20 June; 0600-0900 and 1800-2100.,6.1,31.0,107.0,1754/km2,
16,MESOPHYTIC FOREST II,161988.0,1988.0,1983.0,3,22.0,28,, 21 May-20 June; 0600-0900 and 1800-2100.,6.1,26.0,94.0,1540/km2,
17,UPLAND BLACK CHERRY FOREST,171988.0,1988.0,1968.0,4,6.0,,,,6.1,7.0,21.5,352 / km2,"Several windy, clear days; cold at beginning of study, then warmer."
18,MAPLE-OAK-BEECH FOREST,181988.0,1988.0,1968.0,6,12.0,,,,6.1,12.0,42.0,688 / km2,
19,UNGRAZED OAK-PINE WOODLAND,191988.0,1988.0,1985.0,4,12.0,85,, 4 April-4 May; 0600-1343.,29.7,32.0,115.5,389/km2,"Fair weather prevailed, temperatures from 4.5-32°C."
20,GRAZED OAK-PINE WOODLAND,201988.0,1988.0,1985.0,4,12.0,85,, 4 April-3 May; 0600-1400.,29.7,27.0,124.0,417 / km2,"Generally fair, temperatures 4.5-32°C."
21,OLD-GROWTH MIXED FOREST,211988.0,1988.0,1987.0,,11.0,38,, 25 April-2 July; 05401145.,15.0,34.0,142.5,950/km2,"Generally mild and clear or partly cloudy, except for two trips with light snowfall. Wind usually calm or light breeze; on four visits up to approximately 16-32 kph."
22,OAK-HEMLOCK FOREST,221988.0,1988.0,1955.0,18,11.0,33,, 22 May-8 July; 0530-0830 EDT.,23.1,45.0,106.5,461/km2,Dry and cool (77 21°C) during most of the study period.
23,CLIMAX HEMLOCK-WHITE PINE FOREST,231988.0,1988.0,1965.0,22,5.0,13,," 27, 28 May; 2, 5, 6 June; 05002200; 10.5 hr in morning, 2.5 hr in evening.",10.5,34.0,115.0,1095/km2,During the census period the minimum temperature varied from 2.7A13.9°C with an average of 83°. High temperatures ranged from 14.4-28.9°C with an average of 239°. The total precipitation for the 11-day period was 0.5 cm.
24,CENTRAL HARDWOOD FOREST WITH SCATTERED PINE,241988.0,1988.0,1947.0,29,29.0,49,, 31 March-4 July; 0600-1100 EDT.,26.3,25.0,49.0,186/km2,A major drought and heat spell began in June and continued through August.
25,MATURE BEECH-MAGNOLIA FOREST,251988.0,1988.0,1980.0,3,10.0,32,, 7 April-13 June; all visits were started within 10 min of sunrise.,15.7,35.0,136.5,869/km2,Calm to low wind; clear to partial clouds; light fog once; average starting humidity: 90%; temperatures from 10-27°C.
26,MIXED OAK-PINE FOREST I,261988.0,1988.0,1977.0,10,5.0,,,,6.0,29.0,54.0,900/ km2,"Clear on 6 counts, hazy on 2, partly cloudy on 1, and overcast on 1. During the counts, the average temperature was 195°C (range: 8-28°C). Winds were usually calm, but reached 13 kph on 1 count."
27,MIXED OAK-PINE FOREST II,271988.0,1988.0,1977.0,10,39.0,,,,11.1,40.0,91.0,819/km2,"It was clear on 5 counts and overcast on 4. Fog hindered the start of 4 counts and light rain fell at the end of 2 counts. During the counts, the average temperature was 19.3°C (range 4-32°C)."
28,MOUNTAINTOP HABITAT,281988.0,1988.0,1981.0,3,12.0,18,, 30 May to 29 June; 06115-0832.,8.6,10.0,25.5,296 / km2,"12-26°C; light winds, clear (6 days) to cloudy (6 days)."
29,HEMLOCK-WHITE PINE-MIXED HARDWOOD FOREST,291988.0,1988.0,1979.0,3,9.0,14,," 20 May-25 June; 0625-0905 (8 visits), 1855-1958 (1 visit).",6.1,11.0,29.5,483/km2,"mild temperatures; clear (6 visits), foggy (2 visits), cloudy (1 visit)."
30,VIRGIN SPRUCE-NORTHERN HARDWOOD FOREST,301988.0,1988.0,1948.0,7,9.0,,,,6.1,24.0,58.0,950/km2,Clear to partly cloudy and cool.
31,BIRCH-SPRUCE-FIR FOREST,311988.0,1988.0,1968.0,4,12.0,,,,6.1,24.0,36.5,598 / km2,Clear and warm with one morning shower.
32,OLD-GROWTH MIXED-CONIFEROUS,321988.0,1988.0,1985.0,4,12.0,88,, 23 May-23 June; 0549-1445 PDT.,42.3,47.0,350.0,827/km2,"Generally fair, temperatures ranged from approximately 0~ 11°C on the earlier visits to approximately 11727°C on the final visit."
33,OLD-GROWTH SUBALPINE SPRUCE-FIR FOREST,331988.0,1988.0,1985.0,4,12.0,88,, 23 May-23 June; 0549-1445 PDT.,42.3,47.0,350.0,827/km2,"Generally fair, temperatures ranged from approximately 0~ 11°C on the earlier visits to approximately 11727°C on the final visit."
34,RED PINE PLANTATION,341988.0,1988.0,1978.0,11,12.0,,,,8.5,42.0,119.0,1400 / km2,During the census period the minimum terperature varied from 1.8-13.9°C (average 83°C); high temperatures ranged from 14.4-28.9°C (average 239°); total precipitation for the 10-day period was 0.5 cm.
35,MATURE WHITE SPRUCE PLANTATION,351988.0,1988.0,1985.0,4,9.0,25,, 0500-1000.,4.05,31.0,54.0,1350/km2,Late May and June were dry and warm compared to average.
36,JACK PINE FOREST,361988.0,1988.0,1985.0,4,11.0,26,, 7-27 June; 0401-0647 or 2042-2237 EST.,16.0,10.0,19.5,121 / km2,"Mostly clear, occasionally partly cloudy to overcast; calm with occasional slight to moderate winds; temperatures variable and ranging from 0-20°C."
37,UPLAND SCOTCH PINE PLANTATION,371988.0,1988.0,1969.0,20,14.0,,,,9.3,18.0,43.0,462 / km2,
38,UPLAND MIXED PINE-SPRUCE-HARDWOOD,381988.0,1988.0,1974.0,15,9.0,19,, 9 May-31 Aug.,16.6,34.0,83.0,500/km2,"Data collected at the Alfred Cooperative Weather Station indicated that average daily temperatures in May and July were warmer than normal while June was slightly below normal, with an especially cold period during the second halfofthe month. Total precipitation in May (0.8 cm) and June (4.6 cm) was less than a third of normal precipitation for the period while the total for July (17.6 cm) was one of the wettest on record."
39,UPLAND CHRISTMAS TREE FARM,391988.0,1988.0,1983.0,6,13.0,19,, 9 May-31 August.,10.7,23.0,64.0,598/km2,
40,MATURE SPRUCE FOREST,401988.0,1988.0,1987.0,,7.0,5,, 25 June-8 July; 05001100 EDT.,4.0,12.0,10.5,262/km2,Unusually dry and warm; temperatures ranged from 8-30°C; rain 1.3 cm.
41,YOUNG SPRUCE FOREST,411988.0,1988.0,1977.0,8,11.0,7,, 24 June-7 July; 0500-2000.,4.5,18.0,29.0,644/km2,Warm and dry; temperatures 8-30°C; rain 1.3 cm.
42,LIMBER PINE-,421988.0,1988.0,1986.0,3,5.0,14,," 17, 20, 30 June, 3, 9 July; 0645-1030.",40.0,14.0,52.5,131/km2,Generally hot and dry; temperatures ranged from 14724°C; wind 0-24 kph; cloud cover 0-75%; no precipitation.
43,MATURE UPPER MIXED-CONIFEROUS FOREST,431988.0,1988.0,1985.0,4,12.0,103,, 23 May-24 June; 0600-1600 PDT.,42.3,52.0,462.0,1092/km2,"Generally fair, with temperatures ranging from freezing or slightly below at the beginning of the earlier visits in May to 11°C at the beginning on 24 June. Temperatures at the end of visits ranged from 10-15°C early in the season and around 30°C later in June."
44,MOUNTAIN MEADOW AND OPEN CONIFEROUS FOREST,441988.0,1988.0,1981.0,8,11.0,34,," 25 May-6 Aug; 0630-0830, 0900-1100, 1500-1800, 2030-2230.",13.0,32.0,72.0,553/km2,"Rather dry, warm spring. Summer hot but occasional good rains."
45,TRANSITION FOREST AND THICKET,451988.0,1988.0,1955.0,18,11.0,9,, 22 May-8 July; 0530-0830 EDT.,6.5,32.0,32.5,500/km2,Dry and cool (7-21°C) during most of the study period.
46,SUBURBAN WILDLIFE SANCTUARY-MIXED HABITAT,461988.0,1988.0,1971.0,8,12.0,25,, 9-26 June; 0530-0800 and 1800-2100 (2 visits).,24.7,40.0,94.0,380/km2,Started cold and wet and gave way to hot and humid conditions. This was the second wet spring in a row.
47,DECIDUOUS FOREST WITH POND AND BROOK,471988.0,1988.0,1964.0,25,9.0,9,, 17 May-16 June; 05300630.,16.2,23.0,39.0,240/km2,Normal.
48,ABANDONED UPLAND PASTURE,481988.0,1988.0,1984.0,5,14.0,32,, 4 April-26 August; 0620-1155 and 1955-2020 EDT.,8.0,30.0,152.0,1900/km2,"Temperatures for every month of this study were above the normal average. Precipitation for May, June, and August was nearly 2.5 cm below normal, but averaged 3.5 cm above normal for April and July."
49,ABANDONED PASTURE SCRUBLAND,491988.0,1988.0,1982.0,6,8.0,17,," 4, 11, 18, 25 June; 2, 3, 16, 18 July; 05000730.",9.0,39.0,49.5,550/km2,Average temperatures 12-16°C; partly to mostly cloudy mainly; calm to light winds.
50,SCATTERED MIXED-CONIFEROUS FOREST IN,501988.0,1988.0,1973.0,16,10.0,25,, 17 Junei7 July; 053240740.,32.38,12.0,45.0,138/km2,"Temperatures 8-23°C.; mostly clear on 7 visits, partly cloudy to cloudy on 3 visits; 3 cm precipitation during the study period."
51,MIXED MESOPHYTIC WOODS,511988.0,1988.0,1977.0,12,29.0,41,, 6 March28 June; 0508-1120 CDT.,27.0,44.0,128.0,474/ km2,Last freeze on April 17. A very dry season with drought conditions by late May. The only substantial rain (2.5 cm) occurred on June 26. May on the cool side; hot weather predominated after 10 June; temperatures ranged from 0-30°C.
52,YOUNG BLACK LOCUST SHRUBLAND,521988.0,1988.0,1988.0,1,10.0,29,, 15 June-15 July; 0515-0920.,10.0,14.0,42.0,420 / km2,It was warm and humid with very little rain during this period.
53,DISTURBED COASTAL SCRUB A,531988.0,1988.0,1972.0,14,191.0,,,,4.7,20.0,25.5,542/km2,See Coastal Scrub.
54,DISTURBED COASTAL SCRUB B,541988.0,1988.0,1971.0,15,238.0,,,,8.1,21.0,37.5,463/ km2,See Coastal Scrub.
55,COASTAL SCRUB,551988.0,1988.0,1971.0,14,234.0,,,,8.1,18.0,45.0,555/km2,"The census period was characterized by clear weather 36% of the time, while the other mornings were either scattered (22%), overcast (24%), broken (13%), or foggy (2%). Rain (10.7 cm) fell on 3.4% of the census days, well above the 21year average of 7.6 cm and the average of the previous three springs, 3.7 cm. The yearly total was below the 21-year mean and continues the dry conditions which began in the summer of 1986. Winds were primarily out of the W and ranged from calm to 15 knots. Early morning temperatures ranged from 2-13.3°C with an average of 8.6°C, while early afternoon temperatures ranged from 9-28°C with an average of 192°C."
56,COASTAL PRAIRIE,561988.0,1988.0,1988.0,1,7.0,9,," 12, 15, 22, 27, 28 April; 5, 18 May; 0700-1030.",31.0,7.0,26.5,85/km2,"Generally mild, temperatures 10-18°C; wind 0-40 kph; cloud cover 0-100% stratus clouds."
57,TALL GRASS PRAIRIE I,571988.0,1988.0,1982.0,5,5.0,,,,16.0,13.0,29.0,181 /km2,"For June mean high temperature was 30°C, mean low 162°C and total precipitation was 4.5 cm. This year has been very dry with May-June precipitation only 54% of normal (19.6 cm). Standing water was more shallow and areas normally wet and marshy were dry."
58,TALL GRASS PRAIRIE II,581988.0,1988.0,1982.0,5,3.0,12,," 12, 14, 16 June; 0600-1000.",65.7,15.0,119.0,181/km2,See 57.
59,TALL GRASS PRAIRIE III,591988.0,1988.0,1982.0,5,3.0,12,," 13,15,17 June; 0530-0930.",44.8,25.0,113.0,252/km2,See 57.
60,KENTUCKY BLUEGRASS PRAIRIE,601988.0,1988.0,1972.0,15,8.0,3,," 6 (2 visits), 7, 8, 9, 10 (2), 15 June; 0602-1103.",4.8,10.0,6.0,125/km2,"Generally warm and calm, with no precipitation."
61,MIXED PRAIRIE I,611988.0,1988.0,1972.0,15,9.0,6,," 6, 7, 8, 9 (2 visits), 10 (2), 15 (2) June; 0512-1014.",10.0,11.0,21.0,210/km2,"Generally warm and calm, with no precipitation."
62,MIXED PRAIRIE II,621988.0,1988.0,1972.0,15,8.0,3,," 6, 7, 8 (2 visits), 9, 10 (2), 15 June; 0512-1021.",6.1,10.0,8.0,131/km2,Generally warm and calm with no precipitation.
63,MIXED PRAIRIE III,631988.0,1988.0,1972.0,15,8.0,6,," 6, 7 (2 visits), 8, 9 (2), 10, 15 June; 062471051.",6.1,6.0,4.5,73/km2,"Generally warm and calm, with no precipitation."
64,MIXED PRAIRIE IV,641988.0,1988.0,1972.0,15,9.0,4,," 6, 7 (2 visits), 8, 9, 10, 15 (2) June; 05141010.",6.1,12.0,12.5,204/km2,"Generally warm and calm, with no precipitation."
65,MIXED PRAIRIE V,651988.0,1988.0,1972.0,15,8.0,4,," 6 (2 visits), 7, 8 (2), 9, 10, 15 June; 0515-1029.",6.1,9.0,7.0,114/km2,"Generally warm and calm, with no precipitation."
66,SUBIRRIGATED NATIVE HAY,661988.0,1988.0,1981.0,5,8.0,4,, 7711 and 13-15 June; 073041115 CDT.,16.2,6.0,12.5,77/ km2,
67,SUBIRRIGATED GRASSLAND,671988.0,1988.0,1981.0,5,8.0,5,, 7-11 and 13-15 June; 0710-1040 CDT.,16.2,8.0,42.7,265 /km2,
68,SAGUARO DESERT,681988.0,1988.0,1988.0,1,6.0,12,," 5, 19 March; 4, 16, 29 April; 14 May; 05400905.",12.5,10.0,27.0,216/km2,Very hot and dry; much above average. Over 38°C daily even in March and April.
69,WYOMING BIG SAGEBRUSH-BOTTLEBRUSH,691988.0,1988.0,1985.0,3,8.0,13,," 26 April; 2, 9, 18, 23, 3 May; 6, 14 June.",18.0,3.0,25.5,141/km2,Average cloud cover was 45%; average range of wind speed: 0-6.4 kph; average temperature range: 5-10°C.
70,DESERT RIPARIAN-FRESHWATER MARSH AND PONDS,701988.0,1988.0,1977.0,12,8.0,30,," 13, 18, 25 April; 2, 9, 16, 23 May; 3 June; 0625-1200.",15.4,40.0,169.0,1097/km2,"Calm on 7 of 8 visits, windy on the other one. Three days were overcast, one of which had light sprinkles, the other 5 were sunny. Starting temperatures ranged from 2-18°C and ending temperatures ranged from 18-27°C."
71,FRESHWATER MARSH,711988.0,1988.0,1985.0,2,5.0,,,,10.5,20.0,588.0,5600/ km2,"Generally mild, temperatures ranged from 10718°C; wind 0-40 kph; cloud cover 0-100%; stratus clouds."
72,SHRUBBY SWAMP AND SEDGE HUMMOCKS,721988.0,1988.0,1965.0,22,6.0,13,," 27, 28 May; 1, 3, 5, 7, June; 0445-2400; 8 hrs in morning, 5 hrs after noon.",8.1,21.0,138.0,1703/km2,During the census period the minimum temperature varied from 2.8-13.9°C (average 83°). High temperatures ranged from 14.4-28.9°C with an average of 23.9°. The total precipitation for the 12-day period was 0.5 cm.
73,TAMARACK BOG AND HARDWOOD,731988.0,1988.0,1976.0,13,8.0,,,,8.5,18.0,28.0,329/km2,Clear and calm; temperature 15.6-22.2°C.
74,WETLAND SEDGE MEADOW I,741988.0,1988.0,1981.0,5,8.0,6,, 7-11 and 13-15 June; 0719-0945 CDT.,16.2,8.0,45.5,280/ km2,
75,WETLAND SEDGE MEADOW II,751988.0,1988.0,1982.0,4,8.0,6,, 7-11 and 13-15 June; 07000940 CDT.,16.2,8.0,39.0,240/km2,
76,CATTAIL MARSH,761988.0,1988.0,1978.0,5,6.0,5,," 25, 26, 30 May; 4, 6, 8 June; 063041100 EDT.",6.1,20.0,39.5,647/km2,Usually warm and dry.
77,MIXED HABITAT,771988.0,1988.0,1986.0,3,12.0,33,," 27 May-1 July; 0515-0800 (9 visits), 170042000 (3 visits).",15.0,47.0,207.5,1383/km2,"Temperatures ranged from 4.5-21°C; mostly clear to partly cloudy. Morning ground fog common, only rainy during one census."
78,SECOND-GROWTH BROADLEAF-CONIFEROUS,781988.0,1988.0,1987.0,,8.0,14,," 6, 9, 14, 20 May; 1, 6, 15 June; 8 July; 0530-0800.",21.4,27.0,36.0,168/km2,"May temperatures average, but June significantly colder than average. Rainfall amounts were not excessive, but occurred on enough mornings (or excessive amounts of wind) to make it difficult to census under optimum conditions."
79,SUBURBAN BIRD SANCTUARY,791988.0,1988.0,1983.0,6,9.0,11,," 9, 13, 26, 29 May; 3, 10, 19 June; 7, 19 July; 05050730 (7 visits), 1916-2022 (2 visits).",4.2,19.0,35.5,845/km2,"Cold and heavy rain; temperatures, 9-26°C."
80,SUBURBAN CEMETERY,801988.0,1988.0,1978.0,8,,,,,15.0,20.0,75.5,503/ km2,
81,GULF COAST SALT MARSH,811988.0,1988.0,1980.0,9,115.0,,,,20.0,3.0,68.0,340/km2,
82,LONGLEAF PINE FOREST-APRIL BURN,821988.0,1988.0,1988.0,1,21.0,,,,15.0,27.0,46.0,306/ km2,An intermittent drizzle reduced activity on one visit and fog delayed activity on another.
83,LONGLEAF PINE FOREST-UNBURNED CONTROL,831988.0,1988.0,1988.0,1,21.0,,,,15.0,27.0,41.5,276/km2,See Longleaf Pine Forest-April Burn.
84,MATURE LONGLEAF PINE FOREST,841988.0,1988.0,1980.0,4,21.0,,,,20.0,36.0,109.5,547/km2,Average low temperature 139°C (range 8.9-16.7); average high temperature 217°C (range 16.7-23.9); average starting humidity was 94%; calm to low winds; clear to partly cloudy.
85,MIXED UPLAND BROADLEAF FOREST,851988.0,1988.0,1960.0,29,95.0,,,,14.2,40.0,219.0,1542/km2,
86,SELECTIVELY LOGGED MATURE TULIP,861988.0,1988.0,1975.0,4,34.0,,,,14.5,38.0,127.0,875 / km2,
87,LOWLAND HARDWOOD RIPARIAN FOREST,11989.0,1989.0,1937.0,4,95.0,,,,13.7,38.0,138.5,404/40 ha,"Temperature range 6 to 29°C. Persistent rain was avoided and only on a few days was high fog encountered. Wind was either up or down canyon and would often reach 40 kph in treetops, but was considerably less near the ground. The rainfall in March extended the life of much herbaceous cover."
88,RIPARIAN WOODLAND,21989.0,1989.0,1989.0,1,21.0,,,,11.7,35.0,191.0,652/40 ha,"Typical for season, clear on four visits, otherwise overcast."
89,COAST LIVE OAK WOODLAND,31989.0,1989.0,1989.0,1,12.0,,,,5.1,24.0,96.0,752/40 ha,"Typical for season, clear on three visits, overcast otherwise."
3,SECOND-GROWTH HARDWOOD FOREST,41989.0,1989.0,1965.0,23,10.0,,,,10.1,36.0,99.0,392/40 ha,Temperatures were about average (20 to 28°C). The sky was usually partly cloudy; winds were light.
2,OAK-HARDWOOD FOREST,51989.0,1989.0,1987.0,3,25.3,,,,15.7,26.0,64.5,163/40 ha,"Generally a very wet June. Average rainfall, almost 5 cm above normal. Temperatures ranged from 5.6 to 24.4°C."
90,MIXED HARDWOOD POLETIMBER,61989.0,1989.0,1965.0,23,10.5,,,,8.5,33.0,94.5,444/ 40 ha,Temperatures were about average (21 to 28°C). The sky was usually partly cloudy; winds were light.
85,MIXED UPLAND BROADLEAF FOREST,71989.0,1989.0,1959.0,31,76.0,,,,14.2,31.0,205.5,578/40 ha,Temperatures ranged from 5.3 to 294°C; days mostly clear and calm.
6,MATURE DECIDUOUS FLOODPLAIN FOREST,81989.0,1989.0,1947.0,37,69.0,,,,7.6,24.0,83.0,437/40 ha,Temperatures ranged from 4 to 27°C at the start of the counts; winds ranged from 0 to 4 (Beaufort scale). The entire breeding season was one of the wettest on record and until mid-May one of the coolest. High water prevented access to the areas most of the first two weeks in May.
91,MATURE TULIPTREE-OAK FOREST,91989.0,1989.0,1947.0,5,34.0,,,,14.5,30.0,116.0,317/40 ha,
92,ISOLATED TULIPTREE-BEECH FOREST,101989.0,1989.0,1989.0,1,45.0,,,,17.8,41.0,136.5,307/40 ha,
93,SELECTIVELY LOGGED MATURE,111989.0,1989.0,1975.0,5,35.0,,,,14.5,43.0,122.0,336/40 ha,
94,ISOLATED MOIST TULIPTREE-RED,121989.0,1989.0,1989.0,1,39.0,,,,21.4,29.0,148.0,277/40 ha,Rainfall was unusually heavy from April through July.
95,OLD-GROWTH WOODS AND SWAMP,131989.0,1989.0,1989.0,1,27.8,,,,28.33,45.0,212.0,299/40 ha,Temperatures ranged from 16 to 29°C with a mean 24°C. The wind speed ranged from 1-20 kph with a mean of 7 kph. The sky ranged from clear to overcast.
96,UPLAND SECOND-GROWTH OAK-HICKORY FOREST,141989.0,1989.0,1989.0,1,17.0,,,,10.1,34.0,141.5,560/40 ha,Temperatures ranged from 8.9 to 239°C on census days with little or no wind in mornings. No rain fell during census days.
97,ISOLATED BEECH-MAPLE WOODS,151989.0,1989.0,1989.0,1,26.0,,,,13.5,23.0,53.0,157/40 ha,Temperatures ranged from 7.6 to 229°C during counts. Early June was very wet.
98,MATURE URBAN DECIDUOUS FOREST,161989.0,1989.0,1987.0,3,56.7,,,,10.12,28.0,102.0,403/40 ha,"It was warm in May and cool in June. Little wind. Sometimes cloudy, sometimes clear. Drizzle twice and one visit was discontinued because of rain. Temperatures ranged from 8 to 29°C."
99,MATURE BEECH-MAPLE FOREST ON LAKE,171989.0,1989.0,1989.0,1,16.5,,,,16.2,23.0,79.0,195/40 ha,"Average temperature; 21°C; 6 days clear, 2 partly cloudy, 3 cloudy."
8,WHITE ASH-RED MAPLE FOREST,181989.0,1989.0,1986.0,4,10.0,,,,16.2,29.0,64.0,158/40 ha,"It was cool and wet this spring. Mean temperature was 19°C on census days. There were 7 clear days, 2 cloudy days, and 1 partly cloudy day."
100,FLOODPLAIN FOREST,191989.0,1989.0,1977.0,13,12.8,,,,12.6,38.0,88.0,279/ 40 ha,All counts were conducted in calm or extremely light winds; there was no rain during the counts.
101,MIXED DECIDUOUS FOREST,201989.0,1989.0,1976.0,14,13.5,,,,12.6,30.0,73.0,231/40 ha,All counts were conducted on mornings without rain and in calm or very light winds.
102,RIVER FLOODPLAIN BROADLEAF FOREST,211989.0,1989.0,1989.0,1,18.2,,,,18.0,36.0,118.5,263/40 ha,Temperatures ranged from 4 to 22°C at the start of the censuses; It was unusually wet this spring.
103,RIPARIAN DECIDUOUS FOREST,221989.0,1989.0,1989.0,1,23.0,,,,18.0,38.0,114.0,250/40 ha,"In general, cooler and considerably more rain than average. No violent windstorms until July 27. Temperatures ranged from 12 to 24°C."
12,OAK-MAPLE SLOPE FOREST,231989.0,1989.0,1982.0,8,18.5,,,,16.9,15.0,26.0,61/40 ha,"Overcast, fog or drizzle for 5 days; 3 days of light winds, 2 days of strong winds; 4 days were clear and calm. Temperatures ranged from 5 to 21°C."
104,OAK-MAPLE RIDGETOP FOREST,241989.0,1989.0,1982.0,8,15.4,,,,19.4,12.0,21.5,44/40 ha,Skies were overcast or foggy on 6 of 8 census days; some wind present on 6 of 8 days; temperatures ranged from 4 to 23°C.
105,VIRGIN HARDWOOD SWAMP FOREST,251989.0,1989.0,1979.0,4,16.2,,,,8.9,17.0,122.5,550/40 ha,"Overall conditions were ideal for hearing birds on most days. There were two evening surveys, with one being quite unproductive. Temperatures were relatively cool and winds were light to non-existent. There was 'no rain or drizzle. Early summer temperatures and rainfall were normal. Temperatures ranged from 14.4 to 281°C."
106,TULIPTREE-HICKORY FOREST,261989.0,1989.0,1988.0,2,24.5,,,,10.0,19.0,53.0,212/40 ha,Five visits of light rain or fog; five visits of clear weather. Temperatures ranged from 15-20°C.
15,MESOPHYTIC FOREST I,271989.0,1989.0,1981.0,8,21.8,,,,6.1,22.0,106.5,698/40 ha,The temperatures were seasonal for the study period. The rainfall was above average. Temperatures ranged from 16 to 24°C.
16,MESOPHYTIC FOREST II,281989.0,1989.0,1981.0,8,18.7,,,,6.1,22.0,97.5,639/40 ha,The temperature was seasonal for the study period. The rainfall was above average. Temperatures ranged from 16 to 26°C.
107,CHESTNUT OAK-RED OAK-HICKORY FOREST,291989.0,1989.0,1982.0,2,13.0,,,,6.1,16.0,19.5,127/ 40 ha,Morning temperature range: 11 to 22°C.
22,OAK-HEMLOCK FOREST,301989.0,1989.0,1953.0,19,29.0,,,,23.1,33.0,101.0,175/40 ha,Temperatures ranged from 7 to 24°C with a mean of 15°C. The wind was calm on most visits and breezy on a few. The sky ranged from clear to foggy.
108,YOUNG MIXED HARDWOOD-CONIFER STAND,311989.0,1989.0,1978.0,12,8.0,,,,8.5,42.0,111.0,522/40 ha,Temperatures were about average (23 to 24°C). The sky was usually partly cloudy; winds were light.
109,CLIMAX HEMLOCK-WHITE PINE FOREST WITH,321989.0,1989.0,1965.0,23,13.3,,,,10.5,35.0,93.5,356/40 ha,Temperatures were about average (22 to 27°C). The sky was usually at least partly cloudy. Winds were light.
